[11-Mar-2021 05:46:06 UTC] PHP Fatal error:  require_once(): Failed opening required 'config/all.php' (include_path='.;C:\php\pear') in C:\laragon\www\assistup\common_server\panel\web\models\account.php on line 5
[11-Mar-2021 05:46:46 UTC] PHP Warning:  require_once(config/all.php): failed to open stream: No such file or directory in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:46:46 UTC] PHP Fatal error:  require_once(): Failed opening required 'config/all.php' (include_path='.;C:\php\pear') in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:46:47 UTC] PHP Warning:  require_once(config/all.php): failed to open stream: No such file or directory in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:46:47 UTC] PHP Fatal error:  require_once(): Failed opening required 'config/all.php' (include_path='.;C:\php\pear') in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:46:48 UTC] PHP Warning:  require_once(config/all.php): failed to open stream: No such file or directory in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:46:48 UTC] PHP Fatal error:  require_once(): Failed opening required 'config/all.php' (include_path='.;C:\php\pear') in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:46:48 UTC] PHP Warning:  require_once(config/all.php): failed to open stream: No such file or directory in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:46:48 UTC] PHP Fatal error:  require_once(): Failed opening required 'config/all.php' (include_path='.;C:\php\pear') in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 2
[11-Mar-2021 05:47:49 UTC] PHP Notice:  Undefined index: site_onoff in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 4
[11-Mar-2021 05:47:49 UTC] PHP Notice:  Undefined index: onoff in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 5
[11-Mar-2021 05:47:49 UTC] PHP Notice:  Undefined index: app in C:\laragon\www\assistup\common_server\panel\web\js\site_onoff.php on line 6
